Smartphone-COQE_bert_first_multitask_25_16_run/embe_1,,,,,,,,
Prop,75.81,75.44,66.42,74.67,73.13,72.94,93.87,93.53
Binary,77.56,77.69,70.52,80.15,76.53,76.52,93.87,93.53
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,entity_1,entity_2,aspect,result,macro,micro,sent_acc,elem_acc
Exact,68.14,66.16,55.89,57.83,62.04,61.47,93.87,93.53
Prop,75.81,75.44,66.42,74.67,73.13,72.94,93.87,93.53
Binary,77.56,77.69,70.52,80.15,76.53,76.52,93.87,93.53
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,entity_1,entity_2,aspect,result,macro,micro,sent_acc,elem_acc
Exact,43.44,43.29,32.57,41.83,40.48,40.19,20.1,89.84
Prop,55.64,53.34,44.4,60.28,53.68,53.99,20.1,89.84
Binary,59.34,57.72,50.3,68.95,59.38,59.97,20.1,89.84
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,entity_1,entity_2,aspect,result,macro,micro,sent_acc,elem_acc
Exact,43.75,42.98,32.98,37.87,39.72,39.15,20.1,87.77
Prop,57.37,54.76,45.68,60.74,55.09,55.32,20.1,87.77
Binary,60.65,58.8,51.33,67.83,60.16,60.55,20.1,87.77
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,entity_1,entity_2,aspect,result,macro,micro,sent_acc,elem_acc
Exact,43.75,42.98,32.98,37.87,39.72,39.15,20.1,87.77
Prop,57.37,54.76,45.68,60.74,55.09,55.32,20.1,87.77
Binary,60.65,58.8,51.33,67.83,60.16,60.55,20.1,87.77
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,entity_1,entity_2,aspect,result,macro,micro,sent_acc,elem_acc
Exact,43.75,42.98,32.98,37.87,39.72,39.15,20.1,87.77
Prop,57.37,54.76,45.68,60.74,55.09,55.32,20.1,87.77
Binary,60.65,58.8,51.33,67.83,60.16,60.55,20.1,87.77
Norm

Smartphone-COQE_norm_first_multitask_25_16_run/embe_1
measure_type,entity_1,entity_2,aspect,result,macro,micro,sent_acc,elem_acc
Exact,44.57,43.37,36.42,46.71,43.03,43.08,20.1,88.48
Prop,56.14,54.42,47.77,64.76,56.12,56.7,20.1,88.48
Binary,60.53,59.52,53.67,71.95,61.8,62.53,20.1,88.48
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,66.75,72.77,80.71,71.79
Prop,68.72,74.23,82.33,71.79
Binary,69.48,74.95,83.12,71.79
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,66.75,60.56,67.16,71.79
Prop,68.72,60.77,67.4,71.79
Binary,69.48,60.87,67.51,71.79
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,entity_1,entity_2,aspect,result,macro,micro,sent_acc,elem_acc
Exact,42.37,42.86,28.92,36.77,37.84,37.24,20.1,88.29
Prop,54.65,54.43,43.05,58.47,52.8,52.57,20.1,88.29
Binary,58.66,58.68,48.25,65.32,57.9,57.75,20.1,88.29
load file
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,entity_1,entity_2,aspect,result,macro,micro,sent_acc,elem_acc
Exact,3.77,2.5,0.0,0.0,1.57,1.42,20.1,80.18
Prop,4.99,3.12,0.0,0.25,2.11,1.93,20.1,80.18
Binary,5.52,3.33,0.0,0.25,2.3,2.1,20.1,80.18
Smartphone-COQE_norm_first_multitask_25_16_run/embe_1
measure_type,entity_1,entity_2,aspect,result,macro,micro,sent_acc,elem_acc
Exact,45.03,44.24,37.3,47.32,43.72,43.75,90.12,88.6
Prop,56.02,55.17,48.25,65.12,56.48,57.02,90.12,88.6
Binary,60.6,60.3,53.86,72.33,62.15,62.84,90.12,88.6
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,0.0,0.0,0.0,80.88
Prop,13.2,13.84,14.08,80.88
Binary,20.45,21.44,21.81,80.88
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,0.0,0.0,0.0,80.88
Prop,13.2,13.84,14.08,80.88
Binary,20.45,21.44,21.81,80.88
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,0.0,0.0,0.0,80.88
Prop,13.2,11.28,11.47,80.88
Binary,20.45,17.38,17.68,80.88
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,0.0,0.0,0.0,80.88
Prop,13.2,13.84,14.08,80.88
Binary,20.45,21.44,21.81,80.88
Smartphone-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,0.0,0.0,0.0,80.88
Prop,13.2,11.28,11.47,80.88
Binary,20.45,17.38,17.68,80.88
norm

